PLEASE ADD CURRENT ENTRIES AT THE TOP.                                          
INSERT AN * BEFORE INITIALS IF CHANGE HAS BEEN INSTALLED IN UK AS WELL          
INSERT AN - BEFORE INITIALS IF LOCAL VERSION                                    
*                                                                               
21DEC89 CTMAD00     AELK  SAFER TEST FOR END OF DATA FORMAT REPORTS             
20DEC89 DDSPOOL     KH    SUPPORT FOR 'MID-HEADS'                               
18DEC89 CTREPIDS    MHER  MAKE BUFFA BIGGA                                      
13DEC89 MCCURED    *DEIS  ALLOW P1 TO HAVE REGISTER ADDRESS                     
11DEC89 SRLSTFF    *RCRI  CHANGE TO VTAM TERMINOLOGY                            
11DEC89 SRLST00    *RCRI  ALLOW LUID IN FILTER LIST                             
11DEC89 CTMAD00    *AELK  REMOVED REPNO SAME AS LAST TIME CHECK                 
08DEC89 FATWASVR   *RCRI  SET 8 HOURS MAX FOR SAVED SCREENS                     
08DEC89 FASWITCH   *RCRI  REMOVE CODE TO SEE IF AUTHORISED TO SWITCH            
08DEC89 SRTIM00    *RCRI  UNSWITCH IF CONTROL SYSTEM NOT UP                     
07DEC89 DDSPOOL    *SDE   CHANGE NTRS AND XITS TO NTR1S AND XIT1S               
??????? DMDMGRTAB  *????  YOU NEARLY LOST THIS                                  
??????? DMDMGR     *????  YOU NEARLY LOST THIS AS WELL                          
06DEC89 CTLFMF5    *RCRI  IDA TWO UP SCREEN                                     
06DEC89 CTLFM0A    *RCRI  IDA TWO UP SCREEN                                     
06DEC89 EDREQREPS  *RCRI  DOUBLED MAX NUM SYSTEM= CARDS                         
06DEC89 GEGENCON    DHAB  GIVE SYSTEMS WITH MULT FILES CHANCE TO CHANGE         
                          FILE/DIR NAMES                                        
06DEC89 DDSPLWORKD  DHAB  NEW MODE AND GENSTAT3 BIT FOR ABOVE                   
05DEC89 DMRCVR     *RCRI  MERGED UK/US VERSIONS                                 
05DEC89 CTCTDFAR   *RCRI  MERGED UK/US VERSIONS                                 
05DEC89 SRTOP00    *RCRI  ANOTHER FIX FOR OMNYB40S                              
03DEC89 DMLOCKER   -MH    PATCH FOR PROGRAMS THAT DMSWITCH AND FIND             
                          NO LOCKOUT RULES                                      
29NOV89 SRSYS00    *SDE   FIX BAD CONSOLE MESSAGE FROM $STOP                    
27NOV89 DDBUFFAHI   MH    CHANGE SORTWK9 TO BUFFWK                              
22NOV89 DMRCVR     *MH    ADD TALENT CHKDIR/CHKFIL                              
22NOV89 DMDALINK   *MH    "                                                     
22NOV89 GEPFM00    *MH    "                                                     
17NOV89 DDCUREDIT  *SDE   HANDLE CANADIAN CURRENCY                              
14NOV89 CTMAD00    *AELK  ADDED ROUTINE CONVOFF TO VALIDATE OFFICE CODE         
14NOV89 CTMAD02    *AELK  ADDED CALL TO CONVOFF TO VALIDATE OFFICE              
14NOV89 CTMADWORKD *AELK  ADDED CONVOFF LABEL                                   
14NOV89 CTMADEQUS  *AELK  ADDED ERRORS ER02OFF AND ER02MAT                      
14NOV89 SRTOP00    *MHER  ADD THE VTAM PRINTER NAMES FOR OGILVY                 
10NOV89 SRTOP00    *MHER  YET ANOTHER OGILVY HP PRINTER                         
09NOV89 CTLFM16    *RCRI  FIX DROPPING AUTO BIT ON PRINTERQ CHANGES             
08NOV89 SRDON00    *MHER  RESET ACCESS TO FACPAK NOT AUTH BIT (VTAM)            
08NOV89 FASTART    *RCRI  SSBUII ONLY FOR PRODUCTION VTAM SYSTEMS               
06NOV89 DDMASTER   *MHER  FIX BUG IN OPDATA SUBR (WASN'T WORKING)               
01NOV89 GEGENCON    DHAB  OPT TO RETURN TO SAME LIST PAGE AFTER SELECT          
01NOV89 DDSPLWORKD  DHAB  REPLACED NORECAP BIT WITH NEW DISTHSPG BIT            
31OCT89 DDDICTATE  *SDE   ADD PRINT DATA DICTIONARY PHASE NUMBERS               
27OCT89 FASPOON    *MHER  SPOTJ=NET5 SPOTK=NET6                                 
27OCT89 FATWASVR   *RCRI  NEW CODE TO HANDLE FUCKING TEMPEST                    
27OCT89 SRSSBFF    *RCRI  SET/DISPLAY INPUT INHIBITED                           
27OCT89 SRSSB00    *RCRI  SET/DISPLAY INPUT INHIBITED                           
27OCT89 SRCON00    *RCRI  SSBUII GIVES INPUT INHIBITED MESSAGE                  
27OCT89 FAMONITOR  *RCRI  SSBUII GIVES INPUT INHIBITED MESSAGE                  
27OCT89 FASTART    *RCRI  SET SSBSTAT1=SSBUII/EXIT IF VTAM ACB ERR              
27OCT89 FASSB      *RCRI  NEW SSBSTAT1=SSBUII NOT READY FOR USER INPUT          
27OCT89 CTMADFF    *AELK  CHANGED '' TO 'QQ'                                  
26OCT89 DMDMGR     *RCRI  IS THE DEFINITIVE VERSION                             
26OCT89 GEGENCON    SDE   FIX BUG IN SELECTS FROM CONTROL SYSTEM LISTS          
25OCT89 GEGENCON   *SDE   GIVE A(UNTIME) AND A(TIMVAL) TO UK AS WELL            
25OCT89 DMPRTQO    *RCRI  RECATAL REQUIRED FOR NEW VTAM GETLA                   
25OCT89 EDREQPEEL  *RCRI  OUTBLOCK FROM 500 TO 1000/NET5/NET6                   
